,Heading,Summary,Category,Link,Timestamp
0,OPPO Find X2 Series to launch in India on 17th June,"Ending the wait for their flagship smartphone, OPPO will be launching the Find X2 Series in India on 17th June. With a billion-colour 120Hz Ultra Vision Screen, 65W SuperVOOC 2.0 Flash Charge, Snapdragon 865, and much more, the OPPO Find X2 Series promises to be the pinnacle of speed and performance.",Technology,/en/news/oppo-find-x2-series-to-launch-in-india-on-17th-june-1592159280788,"2020-06-14,Sunday"
1,OPPO Find X2 Series launches in India today at 4 PM,"OPPO has set the stage to launch its premium flagship series in India today. The OPPO Find X2 Series has features like Snapdragon 865 processor, 120Hz Ultra Vision Screen and 65W SuperVOOC 2.0 Flash Charge. The event will be streamed online while the brand reveals the specifications and other details.",Technology,/en/news/oppo-find-x2-series-launches-in-india-today-at-4-pm-1592331716756,"2020-06-16,Tuesday"
2,Only 10% companies were systems resilient before COVID-19: Accenture research,"Only the top 10% of companies were systems resilient before COVID-19, according to Accenture's research of 8,300 companies. Systems resilience describes a system’s ability to operate during a major disruption or crisis by preventing outages, mitigating their impact, or recovering from them. Accenture analysed the companies on applications, architecture, data, cloud, infrastructure and network.",Technology,/en/news/only-10-companies-were-systems-resilient-before-covid19-accenture-research-1592222135027,"2020-06-15,Monday"
3,"What is Dexamethasone, the 1st drug UK scientists say can reduce COVID-19 deaths?","Oxford University trial shows low-cost steroid drug 'dexamethasone' reduced COVID-19 deaths by up to one-third in severely-ill ventilated patients. Anti-inflammatory medicine dexamethasone is used since early 1960s to treat conditions like rheumatoid arthritis and asthma. A total of 2,104 patients received 6mg dexamethasone for ten days and were compared with 4,321 patients receiving usual care.",Technology,/en/news/what-is-dexamethasone-the-1st-drug-uk-scientists-say-can-reduce-covid19-deaths-1592324779646,"2020-06-16,Tuesday"
4,IISC B'luru develops tool to assess COVID-19 preparedness of workplaces,"Researchers at Indian Institute of Science (IISC) in Bengaluru, Karnataka, have developed an online self-assessment tool for companies to know how prepared they are to reopen workplaces amid coronavirus spread. The tool has been named COVID-19 Workplace Readiness Indicator (COVID-19 WRI). Apart from scoring an organisation's readiness, it also provides suggestions if specific weaknesses are found.",Technology,/en/news/iisc-bluru-develops-tool-to-assess-covid19-preparedness-of-workplaces-1592314912475,"2020-06-16,Tuesday"
5,Twitter restores account suspended for linking Chinese scientist to coronavirus,"Twitter said it has restored financial blog Zero Hedge's account after concluding that suspending it was an error. Twitter said the decision was based on ""additional context from the account holder in appeal"". The account was suspended in February for violating ""platform manipulation policy"", shortly after it accused a Chinese scientist of creating ""the strain of coronavirus"" that spread globally.",Technology,/en/news/twitter-restores-account-suspended-for-linking-chinese-scientist-to-coronavirus-1592118607913,"2020-06-14,Sunday"
6,Facebook users can now turn off political ads in US: Mark Zuckerberg,"Facebook CEO Mark Zuckerberg has announced that the platform will allow users to stop seeing political advertisements in the US. Facebook originally announced the new option in January but would now add it to the platform as it prepares for the 2020 US presidential election. The option will apply to political, electoral, and social issue advertisements from candidates and groups.",Technology,/en/news/facebook-users-can-now-turn-off-political-ads-in-us-mark-zuckerberg-1592384436453,"2020-06-17,Wednesday"
7,"Churchill's pic disappears from list of British PMs on Google Search, Google responds","Winston Churchill's photo disappeared from Google's list of British Prime Ministers at a time when Black Lives Matter supporters are calling for his statue to be torn down. Google said this was not purposeful and will be resolved. ""Images in such panels are automatically created and updated. During an update, they can briefly disappear,"" Google added.",Technology,/en/news/churchills-pic-disappears-from-list-of-british-pms-on-google-search-google-responds-1592136060624,"2020-06-14,Sunday"
8,Back to back team calls 12 hrs a day 'new normal' for me: Microsoft India President,"Microsoft India President Anant Maheshwari said that being present on back to back team calls for at least 12 hours a day has become the 'new normal' for him during coronavirus lockdown. He said the 'new normal' for corporates differs from industry to industry. ""IT services companies will definitely have a 'new normal' of a hybrid workplace,"" he added.",Technology,/en/news/back-to-back-team-calls-12-hrs-a-day-new-normal-for-me-microsoft-india-president-1592150697109,"2020-06-14,Sunday"
9,"ByteDance to shut short video app Vigo in India, let users transfer videos to TikTok","Chinese internet company ByteDance has announced plans to shut down its short video entertainment app 'Vigo Video' in India after October 31, 2020. Before Vigo's discontinuation, users of the service are being allowed to migrate all their videos to TikTok. ByteDance said it was saddened to shut down the app but did not provide an explanation for the decision.",Technology,/en/news/bytedance-to-shut-short-video-app-vigo-in-india-let-users-transfer-videos-to-tiktok-1592193237436,"2020-06-15,Monday"
