Heading,Summary,Category,Link,Timestamp
Coronavirus Live Updates: China Locks Down Part of Beijing to Contain New Outbreak,"Beijing officials are scrambling to track cases linked to a sprawling food market. In New York and Texas, frustration is growing as people flout restrictions.",World,/2020/06/15/world/coronavirus-live-updates.html,2020-06-15 21:06:20.584012 Monday
Pakistan's Lockdown Ended a Month Ago. Now Hospital Signs Read 'Full.',"Medical workers are falling ill in Pakistan at alarming rates as the country registers at least 100,000 new coronavirus cases since the lockdown was lifted.",World,/2020/06/15/world/asia/pakistan-coronavirus-hospitals.html,2020-06-15 21:06:20.584012 Monday
Coronavirus Created an Obstacle Course for Safe Abortions,"But during the pandemic, a few countries liberalized their requirements, allowing at-home medical terminations.",World,/2020/06/14/world/europe/coronavirus-abortion-obstacles.html,2020-06-15 21:06:20.584012 Monday
"Russian Court Sentences Paul Whelan, an American, to 16 Years on Spy Charges","The former Marine, who also holds British, Irish and Canadian citizenships, was arrested in December 2018 at a luxury hotel in Moscow, where he was attending a wedding.",World,/2020/06/15/world/europe/paul-whelan-russia-spy-guilty.html,2020-06-15 21:06:20.584012 Monday
"Sushant Singh Rajput, Bollywood Star, Dies at 34","Mr. Rajput, best known for his roles in the films 'Kai Po Che' and 'M.S. Dhoni: The Untold Story,' got his start on television in 2008.",World,/2020/06/14/world/asia/sushant-singh-rajput-death.html,2020-06-15 21:06:20.584012 Monday
Putin Says U.S. Is in 'Deep Internal Crisis',The Russian leader described an America poisoned by racism and violence and paralyzed by the refusal of President Trump's opponents to accept the 2016 election results.,World,/2020/06/14/world/europe/putin-interview-united-states.html,2020-06-15 21:06:20.584012 Monday
"Maria Ressa, Crusading Journalist, Convicted in Philippines Libel Case","The conviction of Ms. Ressa, a critic of President Rodrigo Duterte and his violent drug war, is the latest blow to press freedoms in the country.",World,/2020/06/14/business/maria-ressa-verdict-philippines-rappler.html,2020-06-15 21:06:20.584012 Monday
"Break the China Habit? Lobsters, Lights and Toilets Show How Hard It Is","The risks of relying economically on the Asian superpower have never seemed clearer. But as the world tries to get moving again, it needs China more than ever.",World,/2020/06/15/business/china-decoupling.html,2020-06-15 21:06:20.584012 Monday
"In an English City, an Early Benefactor Is Now 'a Toxic Brand'",Bristol was built with money from the slave trader Edward Colston. Tearing down his statue has reopened a painful reckoning with the city's racist past.,World,/2020/06/14/world/europe/Bristol-Colston-statue-slavery.html,2020-06-15 21:06:20.584012 Monday
Slowing the Coronavirus Is Speeding the Spread of Other Diseases,Many mass immunization efforts worldwide were halted this spring to prevent spread of the virus at crowded inoculation sites. The consequences have been alarming.,World,/2020/06/14/health/coronavirus-vaccines-measles.html,2020-06-15 21:06:20.585035 Monday
